q_3.x,q_3.y,q_3.z,q_4,Time
0.012179635281197,0.0275637793283,0.670907725137245,0.740928153470979,
-0.006841675694927,0.010598122643562,0.670865104928051,0.74147053572872,
-0.006757196396849,0.012140225920417,0.671656183644598,0.740732442805085,
-0.077239151928096,-0.047981349520224,0.668065760693522,0.738525586952094,
-0.006641388077341,0.015168863211366,0.673231932781784,0.739242256559826,
-0.006474533305634,0.016783971843397,0.67401787157383,0.738495906647159,
-0.006428962114399,0.018287949297687,0.674802167356753,0.737744029721395,
-0.006259295241124,0.019897200401806,0.675584904554547,0.736987071230515,
-0.006336239183011,0.021291164851443,0.676364945111933,0.73623160379169,
-0.00605877974016,0.022992811208169,0.677143420897245,0.735466779474987,
-0.006101387398495,0.024414588727314,0.677922072138627,0.734702891577002,
-0.005906811917274,0.026041694048523,0.678694045166966,0.733935502821573,
-0.0056998970976,0.027681751712921,0.679469242697914,0.733159377968666,
-0.005747628505217,0.029090025259273,0.680246055565598,0.732383732032354,
-0.00575256762945,0.030538365602734,0.681016664874574,0.731608165828938,
-0.005568840474233,0.032152336513236,0.681785965323752,0.730822765184231,
-0.005504847058705,0.033659609790736,0.682553817467569,0.730038216548576,
-0.005321076851208,0.035268368475792,0.683318325811843,0.729248778785834,
-0.005202511744805,0.036823388938922,0.684078182134175,0.728453997983368,
-0.005101114807146,0.038360386558026,0.684847374216015,0.727656672091674,
-0.003794514022353,0.063832851818764,0.662502219120802,0.746325155986069,
-0.004944020511719,0.041385920168315,0.686367295520693,0.726058324917107,
